Adipose_Up,Endothelial_Up,Epithelial_Up,Fibroblast_Up
FOSB,ADGRF5,CLDN6,CCDC80
VIM,MYCT1,AIF1L,LXN
FN1,CALCRL,RPL39L,CFI
LMNA,ROBO4,KRT7,C1S
TIMP3,NPDC1,BCAM,SNAI2
TAGLN,CLEC14A,ERP27,IGF1
FOS,CLDN5,ASRGL1,RGS4
ACTA2,MMRN2,CKB,GJB2
COL3A1,PODXL,CLDN10,FAM114A1
COL1A2,ESAM,CRK,PDLIM3
LGALS1,A2M,EPCAM,PLAU
MYL9,ENG,USP1,STEAP1
CPE,ADGRL4,LSR,THY1
TPM2,NOTCH4,SLC35B2,FAP
CAVIN3,EGFL7,PDZK1IP1,DES
COL1A1,RAMP2,TMEM41A,LOX
SPARC,VWF,IGF2BP2,COL5A2
AEBP1,CD34,THSD4,RHOBTB3
BGN,PLVAP,TIMM22,COL8A1
TIMP1,ECSCR,ING1,EFEMP1
MGP,HSPG2,LINC01986,LOXL1
SPARCL1,CDH5,SLC20A2,DCN
CALD1,COL15A1,C6orf132,KDELR3
IGFBP7,CD93,,CTHRC1
NDUFA4L2,,,
